step,KE,PE,T_insta,P_insta
0,3130.4134,-3308.7899,122.5794,4.6273
1,3129.4065,-3304.5725,122.54,4.6385
2,3121.9799,-3293.934,122.2492,4.6611
3,3108.1368,-3276.8836,121.7071,4.6948
4,3087.8936,-3253.4475,120.9144,4.7394
5,3061.2881,-3223.6792,119.8726,4.7947
6,3028.3908,-3187.6659,118.5845,4.8607
7,2989.3052,-3145.5272,117.054,4.937
8,2944.17,-3097.4257,115.2866,5.0232
9,2893.1723,-3043.5726,113.2896,5.119
10,2836.5491,-2984.2345,111.0724,5.2235
11,2774.5979,-2919.742,108.6465,5.3362
12,2707.6846,-2850.4983,106.0264,5.4562
13,2636.2504,-2776.9846,103.2292,5.5825
14,2560.8185,-2699.7675,100.2755,5.7139
15,2481.9989,-2619.5022,97.1891,5.8493
16,2400.492,-2536.9337,93.9975,5.9871
17,2317.0861,-2452.8936,90.7315,6.126
18,2232.6546,-2368.2945,87.4254,6.2642
19,2148.1457,-2284.1166,84.1162,6.4001
20,2064.5669,-2201.3898,80.8434,6.5317
