step,KE,PE,T_insta,P_insta
0,391.3016,-412.9481,123.0,4.6835
1,391.1711,-412.3081,122.959,4.6955
2,390.2421,-410.9737,122.667,4.7172
3,388.5035,-408.8307,122.1205,4.7503
4,385.9581,-405.8835,121.3204,4.7946
5,382.6121,-402.1395,120.2686,4.8499
6,378.4746,-397.6103,118.968,4.9159
7,373.5592,-392.3112,117.4229,4.9922
8,367.8836,-386.263,115.6389,5.0787
9,361.4716,-379.4925,113.6234,5.1745
10,354.3533,-372.0334,111.3858,5.2793
11,346.5663,-363.9277,108.9381,5.3922
12,338.157,-355.2262,106.2948,5.5125
13,329.181,-345.9898,103.4733,5.6391
14,319.7045,-336.2928,100.4945,5.7708
15,309.8051,-326.278,97.3828,5.9049
16,299.5755,-315.9161,94.1672,6.043
17,289.1094,-305.3715,90.8774,6.182
18,278.5167,-294.7587,87.5477,6.3205
19,267.9161,-284.2103,84.2156,6.4561
20,257.4359,-273.8662,80.9213,6.5872
21,247.2075,-263.8165,77.7061,6.7124
22,237.3641,-254.214,74.612,6.8302
23,228.0354,-245.2252,71.6796,6.9371
24,219.348,-236.9018,68.9489,7.0339
25,211.4164,-229.402,66.4557,7.1174
26,204.343,-222.7861,64.2323,7.1875
27,198.2138,-217.2376,62.3056,7.2409
28,193.096,-212.6527,60.697,7.2793
29,189.0309,-209.16,59.4191,7.3019
30,186.0394,-206.7177,58.4788,7.3084
31,184.1192,-205.3548,57.8752,7.2987
32,183.2483,-204.9935,57.6015,7.2743
33,183.3836,-205.6109,57.644,7.235
34,184.4663,-207.1509,57.9843,7.1815
35,186.424,-209.5156,58.5997,7.1157
36,189.1734,-212.6635,59.4639,7.0374
37,192.6245,-216.4302,60.5487,6.9498
38,196.6819,-220.8448,61.8241,6.8518
39,201.251,-225.7609,63.2603,6.7445
40,206.2416,-230.955,64.8291,6.6329
41,211.5566,-236.399,66.4998,6.5175
42,217.1068,-242.0367,68.2444,6.3984
43,222.8107,-247.7721,70.0373,6.2772
44,228.5938,-253.6533,71.8552,6.1528
45,234.3909,-259.5771,73.6774,6.0266
46,240.15,-265.2939,75.4877,5.9032
47,245.8106,-270.8893,77.267,5.7808
48,251.3286,-276.323,79.0015,5.6602
49,256.6675,-281.5619,80.6797,5.5418
50,261.7978,-286.5737,82.2924,5.4265
51,266.697,-291.3517,83.8324,5.314
52,271.348,-295.9418,85.2943,5.2032
53,275.7449,-300.2073,86.6764,5.0976
54,279.8762,-304.2057,87.9751,4.9957
55,283.74,-307.9372,89.1896,4.8975
56,287.3384,-311.4057,90.3207,4.8033
57,290.677,-314.6217,91.3701,4.7127
58,293.7655,-317.6624,92.3409,4.6251
59,296.6185,-320.3008,93.2377,4.5432
60,299.2534,-322.9602,94.066,4.4603
61,301.6848,-325.2933,94.8303,4.3838
62,303.9228,-327.4858,95.5337,4.3101
63,305.9846,-329.512,96.1818,4.2386
64,307.8911,-331.3476,96.7811,4.1707
65,309.6597,-333.0996,97.3371,4.1044
66,311.31,-334.7703,97.8558,4.0397
67,312.8677,-336.2842,98.3454,3.9785
68,314.3413,-337.7193,98.8087,3.9193
69,315.7465,-339.0969,99.2504,3.8613
70,317.0971,-340.4613,99.6749,3.8042
71,318.4079,-341.7546,100.0869,3.7491
72,319.6857,-343.0188,100.4886,3.6954
73,320.938,-344.1556,100.8822,3.6441
74,322.1712,-345.3801,101.2699,3.5925
75,323.3875,-346.5884,101.6522,3.542
76,324.588,-347.8025,102.0295,3.4921
77,325.7723,-348.9773,102.4018,3.4437
78,326.9371,-350.1306,102.7679,3.3963
79,328.0781,-351.2266,103.1266,3.3499
80,329.1976,-352.3291,103.4785,3.3046
81,330.2819,-353.3928,103.8194,3.2607
82,331.3238,-354.4104,104.1469,3.2181
83,332.3158,-355.3743,104.4587,3.1769
84,333.2506,-356.2773,104.7525,3.1372
85,334.1209,-357.1127,105.0261,3.099
86,334.9206,-357.8746,105.2775,3.0625
87,335.6444,-358.5873,105.505,3.0265
88,336.2898,-359.3229,105.7078,2.9901
89,336.8609,-359.9127,105.8874,2.9574
90,337.3489,-360.3579,106.0408,2.9276
91,337.7521,-360.5781,106.1675,2.9013
92,338.0693,-361.0143,106.2672,2.872
93,338.3113,-361.2254,106.3433,2.847
94,338.4759,-361.3099,106.395,2.8246
95,338.568,-361.2627,106.424,2.8049
96,338.5969,-361.3419,106.433,2.7827
97,338.5708,-361.4079,106.4248,2.7618
98,338.4987,-361.3147,106.4022,2.7435
99,338.3881,-361.3441,106.3674,2.7226
100,338.2645,-361.2121,106.3286,2.7058
101,338.1281,-361.0586,106.2857,2.69
102,337.9931,-360.9277,106.2433,2.6742
103,337.8697,-360.8137,106.2045,2.6587
104,337.7677,-360.7247,106.1724,2.6434
105,337.6936,-360.728,106.1491,2.6272
106,337.6555,-360.7023,106.1371,2.6121
107,337.6484,-360.7084,106.1349,2.5971
108,337.6667,-360.8828,106.1406,2.5793
109,337.71,-360.9305,106.1543,2.5647
110,337.7598,-360.9787,106.1699,2.5505
111,337.8038,-361.0149,106.1838,2.5369
112,337.8296,-361.0275,106.1919,2.5239
113,337.8259,-361.005,106.1907,2.5117
114,337.7829,-361.0384,106.1772,2.499
115,337.6982,-360.9289,106.1506,2.4887
116,337.5635,-360.7685,106.1082,2.4794
117,337.3778,-360.5702,106.0498,2.4705
118,337.143,-360.3125,105.976,2.4631
119,336.8641,-360.014,105.8884,2.4564
120,336.548,-359.6826,105.789,2.4504
121,336.2037,-359.3278,105.6808,2.4451
122,335.8411,-358.9599,105.5668,2.4402
123,335.4706,-358.5893,105.4504,2.4358
124,335.1025,-358.226,105.3346,2.4315
125,334.7462,-357.7883,105.2226,2.4289
126,334.4135,-357.468,105.1181,2.4246
127,334.1068,-357.1758,105.0216,2.4203
128,333.8299,-356.9145,104.9346,2.4159
129,333.5843,-356.807,104.8574,2.4103
130,333.3716,-356.6078,104.7905,2.4057
131,333.1846,-356.4315,104.7318,2.4009
132,333.0173,-356.2707,104.6792,2.3963
133,332.861,-356.1161,104.63,2.3917
134,332.7057,-355.9509,104.5812,2.3878
135,332.5419,-355.7782,104.5297,2.3839
136,332.3581,-355.5416,104.472,2.3813
137,332.1475,-355.3259,104.4058,2.3783
138,331.9067,-355.0658,104.3301,2.376
139,331.6272,-354.7669,104.2422,2.3744
140,331.3095,-354.7586,104.1423,2.3698
141,330.9674,-354.4029,104.0348,2.3692
142,330.6002,-354.0157,103.9194,2.3694
143,330.2186,-353.6318,103.7994,2.3693
144,329.8355,-353.3266,103.679,2.368
145,329.4646,-353.0449,103.5625,2.3665
146,329.1207,-352.7154,103.4543,2.3661
147,328.8068,-352.4186,103.3557,2.3654
148,328.5276,-352.1577,103.2679,2.3643
149,328.2845,-351.9325,103.1915,2.3629
150,328.0762,-351.7408,103.126,2.3611
151,327.8996,-351.4971,103.0705,2.3604
152,327.75,-351.3921,103.0235,2.3573
153,327.6239,-351.2773,102.9838,2.3548
154,327.5191,-351.1828,102.9509,2.352
155,327.4338,-351.0985,102.9241,2.3494
156,327.3677,-351.042,102.9033,2.3464
157,327.3201,-351.0038,102.8883,2.3432
158,327.2904,-350.9832,102.879,2.3399
159,327.2779,-351.0898,102.8751,2.335
160,327.2838,-351.1025,102.8769,2.3316
161,327.3018,-351.1286,102.8826,2.3279
162,327.3278,-351.1567,102.8908,2.3244
163,327.3556,-351.1257,102.8995,2.3222
164,327.3779,-351.1426,102.9065,2.3192
165,327.3868,-351.1418,102.9093,2.3165
166,327.3733,-351.1136,102.9051,2.3144
167,327.3275,-351.0479,102.8907,2.3128
168,327.2391,-350.6867,102.8629,2.3142
169,327.0998,-350.5169,102.8191,2.3144
170,326.8967,-350.278,102.7553,2.3157
171,326.6193,-349.9598,102.6681,2.3181
172,326.2578,-349.5528,102.5544,2.3218
173,325.8032,-349.0638,102.4115,2.3264
174,325.2485,-348.4563,102.2372,2.333
175,324.5874,-347.7405,102.0294,2.3412
176,323.8164,-346.9138,101.787,2.3509
177,322.9345,-345.9768,101.5098,2.3621
178,321.9436,-344.9328,101.1983,2.3747
179,320.8486,-343.6358,100.8541,2.3904
180,319.6625,-342.4016,100.4813,2.4059
181,318.3916,-341.0919,100.0818,2.4224
182,317.0489,-339.7559,99.6597,2.4384
183,315.6526,-338.338,99.2208,2.4563
184,314.2182,-336.8914,98.7699,2.4745
185,312.7649,-335.4392,98.3131,2.4926
186,311.3136,-334.153,97.8569,2.5096
187,309.8913,-332.749,97.4099,2.5273
188,308.511,-331.3967,96.976,2.5442
189,307.1919,-330.1151,96.5613,2.5603
190,305.9528,-328.9225,96.1718,2.5752
191,304.8112,-327.8357,95.813,2.5886
192,303.7834,-326.8706,95.4899,2.6005
193,302.8847,-326.0416,95.2074,2.6105
194,302.1286,-325.3552,94.9698,2.6189
195,301.5271,-324.8342,94.7807,2.6249
196,301.0885,-324.5044,94.6428,2.6285
197,300.8221,-324.3236,94.5591,2.6301
198,300.7266,-324.3129,94.5291,2.6295
199,300.799,-324.4666,94.5518,2.6268
200,301.0312,-324.754,94.6248,2.6228
201,301.4104,-325.2006,94.744,2.6163
202,301.9192,-325.7663,94.9039,2.6084
203,302.5356,-326.4275,95.0977,2.5992
204,303.2347,-327.158,95.3174,2.5892
205,303.9895,-327.5765,95.5547,2.5805
206,304.7731,-328.364,95.801,2.5698
207,305.5573,-329.1387,96.0475,2.5593
208,306.3157,-329.875,96.2859,2.5494
209,307.0238,-330.5495,96.5085,2.5403
210,307.6591,-331.4159,96.7082,2.5302
211,308.2114,-331.9099,96.8818,2.5239
212,308.6552,-332.2942,97.0213,2.5189
213,308.9769,-332.5509,97.1224,2.5156
214,309.1664,-332.6717,97.182,2.5143
215,309.2171,-332.6939,97.1979,2.5135
216,309.1275,-332.5329,97.1698,2.516
217,308.8954,-332.3426,97.0968,2.519
218,308.5208,-331.9003,96.9791,2.5254
219,308.0126,-331.3281,96.8193,2.5337
220,307.3789,-330.6356,96.6201,2.5436
221,306.6305,-329.8344,96.3849,2.5551
222,305.78,-329.0183,96.1175,2.5668
223,304.8546,-328.0519,95.8266,2.581
224,303.8554,-327.0212,95.5126,2.596
225,302.7972,-325.9384,95.1799,2.6118
226,301.6938,-324.8171,94.8331,2.6282
227,300.5582,-323.6133,94.4761,2.6462
228,299.4044,-322.4521,94.1134,2.6633
229,298.2388,-321.1993,93.7471,2.6828
230,297.0731,-320.0329,93.3806,2.7002
231,295.9085,-318.8702,93.0146,2.7177
232,294.75,-317.7158,92.6504,2.7351
233,293.6025,-316.5755,92.2897,2.7524
234,292.4725,-315.4567,91.9345,2.7693
235,291.3689,-314.3702,91.5876,2.7859
236,290.3044,-313.3311,91.253,2.8018
237,289.2965,-312.3176,90.9362,2.8172
238,288.3702,-311.443,90.645,2.8308
239,287.5484,-310.9018,90.3867,2.8413
240,286.8624,-310.0357,90.1711,2.8545
241,286.3341,-309.5947,90.005,2.8628
242,285.9851,-309.3408,89.8953,2.8688
243,285.8286,-309.2819,89.8461,2.8723
244,285.8664,-309.413,89.858,2.8736
245,286.0865,-309.7155,89.9272,2.8727
246,286.4637,-310.2539,90.0457,2.8692
247,286.962,-310.7945,90.2024,2.8656
248,287.5326,-311.3846,90.3817,2.8613
249,288.1232,-311.9648,90.5674,2.8574
250,288.6802,-312.4853,90.7424,2.8544
251,289.1525,-312.8978,90.8909,2.8529
252,289.4952,-313.1614,90.9986,2.8532
253,289.6718,-313.5093,91.0542,2.8529
254,289.6589,-313.394,91.0501,2.858
255,289.4388,-313.0679,90.9809,2.8658
256,289.007,-312.5321,90.8452,2.8763
257,288.3699,-311.8205,90.6449,2.8885
258,287.5437,-310.9085,90.3852,2.9037
259,286.5532,-309.8649,90.0738,2.92
260,285.4299,-308.6888,89.7208,2.9382
261,284.2107,-307.4363,89.3375,2.9573
262,282.9348,-306.1467,88.9365,2.9767
263,281.6414,-304.8584,88.5299,2.9961
264,280.3674,-303.6067,88.1294,3.0148
265,279.1457,-302.2513,87.7454,3.034
266,278.0164,-301.17,87.3904,3.0503
267,276.9872,-300.199,87.0669,3.0652
268,276.0725,-299.3443,86.7794,3.0785
269,275.2795,-298.62,86.5301,3.0897
270,274.6112,-298.0134,86.3201,3.0995
271,274.0663,-297.5509,86.1488,3.1073
272,273.6439,-297.1866,86.016,3.1135
273,273.3367,-296.9348,85.9194,3.1182
274,273.139,-296.7897,85.8573,3.1212
275,273.0452,-296.7455,85.8278,3.1227
276,273.0493,-296.8725,85.8291,3.1214
277,273.1484,-297.016,85.8603,3.12
278,273.3351,-297.2448,85.9189,3.1172
279,273.6048,-297.5966,86.0037,3.1123
280,273.9567,-297.9872,86.1143,3.1071
281,274.3852,-298.4535,86.249,3.1007
282,274.8883,-298.9934,86.4072,3.0933
283,275.4639,-299.6047,86.5881,3.0849
284,276.1096,-300.2844,86.7911,3.0755
285,276.8216,-301.0187,87.0149,3.0657
286,277.594,-301.8185,87.2577,3.0546
287,278.4181,-302.6646,87.5167,3.043
288,279.2825,-303.5443,87.7884,3.0309
289,280.1733,-304.4426,88.0684,3.0186
290,281.0747,-305.3434,88.3518,3.0062
291,281.9704,-306.2304,88.6333,2.9941
292,282.8445,-307.0911,88.9081,2.9821
293,283.6827,-307.8571,89.1716,2.9712
294,284.473,-308.6196,89.42,2.9606
295,285.2055,-309.321,89.6502,2.9509
296,285.8744,-310.3532,89.8605,2.938
297,286.4797,-310.9257,90.0507,2.9298
298,287.0193,-311.4336,90.2204,2.9226
299,287.4963,-311.8811,90.3703,2.9163
300,287.9155,-312.2807,90.5021,2.9103
301,288.2829,-312.6242,90.6176,2.9054
302,288.6038,-312.9234,90.7184,2.9012
303,288.8822,-313.1816,90.8059,2.8976
304,289.1203,-313.3992,90.8808,2.8946
305,289.3172,-313.5606,90.9427,2.8923
306,289.4703,-313.6884,90.9908,2.8906
307,289.5709,-313.7591,91.0224,2.8898
308,289.6095,-313.7623,91.0346,2.8899
309,289.575,-313.6869,91.0237,2.8911
310,289.4565,-313.5225,90.9865,2.8935
311,289.2445,-313.6428,90.9198,2.8959
312,288.9351,-313.2817,90.8226,2.9011
313,288.5225,-312.818,90.6929,2.9075
314,288.0091,-312.257,90.5315,2.9152
315,287.4033,-311.6099,90.3411,2.924
316,286.719,-310.8932,90.126,2.9337
317,285.9751,-310.1282,89.8922,2.9441
318,285.1949,-309.3396,89.6469,2.9548
319,284.4042,-308.5537,89.3983,2.9654
320,283.6291,-307.796,89.1547,2.9757
321,282.8943,-307.0896,88.9238,2.9854
322,282.2206,-306.4527,88.712,2.9943
323,281.6234,-305.7113,88.5242,3.0032
324,281.1217,-305.2534,88.3666,3.01
325,280.707,-304.8807,88.2362,3.0157
326,280.3744,-304.5855,88.1316,3.0206
327,280.1134,-304.4054,88.0496,3.0236
328,279.9112,-304.2346,87.986,3.0266
329,279.7509,-304.0885,87.9357,3.0295
330,279.6147,-303.9582,87.8928,3.0323
331,279.4865,-303.8286,87.8526,3.0349
332,279.3524,-303.6871,87.8104,3.0376
333,279.2009,-303.5236,87.7628,3.0404
334,279.0236,-303.3313,87.7071,3.0434
335,278.8152,-303.1061,87.6415,3.0467
336,278.573,-302.8471,87.5654,3.0502
337,278.2978,-302.5565,87.4789,3.0539
338,277.9931,-302.2394,87.3831,3.0578
339,277.6657,-301.8499,87.2802,3.0627
340,277.3269,-301.5096,87.1737,3.0664
341,276.9888,-300.93,87.0674,3.0724
342,276.6717,-300.6307,86.9677,3.075
343,276.3914,-300.2823,86.8796,3.0776
344,276.1694,-300.0985,86.8099,3.0782
345,276.0293,-300.0104,86.7658,3.0772
346,275.9942,-300.036,86.7548,3.0747
347,276.0852,-300.1975,86.7834,3.0701
348,276.3209,-300.5111,86.8575,3.0634
349,276.715,-300.988,86.9814,3.0544
350,277.2758,-301.6349,87.1576,3.0428
351,278.0055,-302.4493,87.387,3.0289
352,278.8998,-303.4942,87.6681,3.0119
353,279.9549,-304.6215,87.9998,2.9937
354,281.1495,-305.8789,88.3753,2.9738
355,282.4641,-307.2452,88.7885,2.9523
356,283.8756,-308.6963,89.2322,2.9295
357,285.3593,-310.2066,89.6986,2.9058
358,286.8891,-311.9412,90.1795,2.8796
359,288.4377,-313.4907,90.6662,2.8552
360,289.9811,-315.0227,91.1514,2.831
361,291.4951,-316.5138,91.6273,2.8073
362,292.9572,-317.9428,92.0869,2.7843
363,294.3476,-319.2912,92.5239,2.7623
364,295.6493,-320.5436,92.9331,2.7416
365,296.8485,-321.6878,93.3101,2.7223
366,297.9347,-322.7151,93.6515,2.7045
