step,KE,PE,T_insta,P_insta
0,391.301575210033,-1337.5726394999983,123.00000045477438,1.4292896176688794
1,390.80152710093626,-1337.0729278505548,122.84281755150266,1.4403740455155791
2,389.4849954156138,-1335.7531574226382,122.42898482464369,1.4631114633019788
3,387.3493952579258,-1333.6144501363995,121.75768974941725,1.4974492060975049
4,384.39830695094065,-1330.6603535146276,120.83005774868631,1.5432859866919284
5,380.6381876607975,-1326.897301843294,119.64811853939648,1.6004606949298885
6,376.078928884724,-1322.3351783216951,118.21498137088528,1.6687464387838764
7,370.73454557956927,-1316.9880079041084,116.53505164248672,1.7478419012678876
8,364.6239756417501,-1310.8747581126493,114.6142822085092,1.8373533439632435
9,357.77197717743223,-1304.0202423582891,112.46045542216201,1.9367966444086258
10,350.2101359636612,-1296.4561313680697,110.08349981641592,2.0455826216278408
11,341.97790437039896,-1288.2219955026367,107.495816674145,2.163011001623901
12,333.12363234768776,-1279.3663322115508,104.71260410405603,2.288249775599543
13,323.7055252249355,-1269.9475382171868,101.75215811106494,2.420346878811781
14,313.7924657438484,-1260.034718492044,98.6361309904804,2.5581949577108087
15,303.4645866343294,-1249.7082585757294,95.38971130897046,2.7005567308477083
16,292.81349680504405,-1239.0600538676622,92.04169500430123,2.8460504717540216
17,281.9420555126951,-1228.1932643582936,88.62441439870891,2.993144468515288
18,270.9635905302747,-1217.221535012517,85.17349244137809,3.1401898188171526
19,260.0004936701616,-1206.267569283569,81.7274012314057,3.285427307883672
20,249.18214813126235,-1195.4610381457455,78.32681050930019,3.4270203390374436
21,238.64219092870354,-1184.9358229910576,75.01372714128108,3.5630976726558883
22,228.51517602479385,-1174.8266523031082,71.8304462226755,3.6917911177505314
23,218.93277208512825,-1165.2652804009574,68.8183558974473,3.8112905186280073
24,210.02151901772658,-1156.3763738438092,66.01723215866683,3.919904677628211
25,201.89308931701967,-1148.2733626376403,63.46217764260232,4.016099413609749
26,194.64624861598452,-1141.0546997449412,61.18423789997655,4.098547766073501
27,188.3615741189423,-1134.8005046269345,59.20874121157354,4.16618074310866
28,183.09891447777662,-1129.5700300246472,57.554500137002705,4.218209146493288
29,178.89533780681677,-1125.400090725349,56.23316650280454,4.254142147350491
30,175.76650019403274,-1122.30468954372,55.24966157418579,4.27380719144366
31,173.70450895781804,-1120.2751101177187,54.601504400639996,4.277333777843884
32,172.67965753402305,-1119.281520640866,54.27935715263774,4.265131767531193
33,172.6445946187414,-1119.2751923007895,54.26833563146632,4.23788029021959
34,173.53517112501567,-1120.191255635834,54.54827549784164,4.196466565533491
35,175.27401308396182,-1121.9518113989118,55.0948553617902,4.1419673780171395
36,177.77332242791476,-1124.4692144022556,55.8804771683925,4.075590975034099
37,180.9364650293926,-1127.649325675015,56.874765374902935,3.998645171592158
38,184.6699639827845,-1131.3948534773465,58.04833686568627,3.912501296504402
39,188.8755078130497,-1135.6075398432106,59.370288848009714,3.818541372139211
40,193.4555056382763,-1140.1908310396695,60.809945037186466,3.7181315674991944
41,198.3177170236425,-1145.0518850653411,62.338310984321346,3.612611739841425
42,203.37420421454888,-1150.1031367880528,63.92774472592387,3.503255960052907
43,208.54345422377526,-1155.2635117563862,65.5526238313668,3.39125684105779
44,213.7512370949117,-1160.4592635875833,67.18961518560381,3.2777137185480525
45,218.93113420437925,-1165.624494089911,68.817841053282,3.163628359661263
46,224.02483994410514,-1170.701394096586,70.41897390833498,3.049897057267106
47,228.98205491846537,-1175.6402496029953,71.97720286198394,2.9373040864733544
48,233.7606018628128,-1180.399268917043,73.47927010005323,2.826533485981853
49,238.32583779787439,-1184.9442544955944,74.91428610219258,2.7181564889847727
50,242.65034023809613,-1189.2481921769743,76.27363100600095,2.6126425739595924
51,246.7134214785882,-1193.290757657014,77.55080193014064,2.5103833913221942
52,250.500583554086,-1197.0577747622397,78.74124164855603,2.4116715541381017
53,254.0030389431981,-1200.5406961373646,79.84218793077424,2.3167167454262323
54,257.2170859089628,-1203.736121118369,80.85247718922798,2.2256527342380314
55,260.1437617025625,-1206.645304654743,81.77243546885032,2.1385449792978086
56,262.78832546938577,-1209.2736894830887,82.60371590606131,2.055407066490496
57,265.15982990248983,-1211.6304863998687,83.34916408421836,1.9761840561073063
58,267.2707091137618,-1213.7282614380117,84.01268848686628,1.9007668471490877
59,269.1363693748164,-1215.5825223915608,84.59913185304745,1.828998435332386
60,270.77480434427713,-1217.2113130299467,85.11415022955313,1.7606768553294239
61,272.20732135505534,-1218.6347612698712,85.56444126884327,1.6955775769948982
62,273.4543133566214,-1219.874618333041,85.95641520014523,1.6334493167509536
63,274.5387212505067,-1220.9537957931384,86.29728316462878,1.5740142203447782
64,275.4841799190224,-1221.8958542891514,86.59447444630194,1.5169808416422272
65,276.3141017050384,-1222.72450391666,86.85534837711249,1.4620518761351295
66,277.05230377791185,-1223.463091120026,87.08739154036941,1.4089271803058219
67,277.7214665367734,-1224.1341378515804,87.29773319207399,1.3573211845856672
68,278.34428533405446,-1224.7588863446147,87.49350728858178,1.3069603602957218
69,278.9391964475238,-1225.3569080706898,87.68050900762162,1.2575840070755204
70,279.5239982552035,-1225.9457988689517,87.86433301234725,1.2089552525474452
71,280.11427417625646,-1226.5409436857212,88.04987772557512,1.1608667817227192
72,280.7237086315804,-1227.1553486028176,88.24144464743523,1.1131411775555837
73,281.36248051118787,-1227.7995509669354,88.44223336503762,1.0656233010409681
74,282.0420310461368,-1228.4816025192408,88.65584026417392,1.0182115807789405
75,282.7643939061255,-1229.2069985704927,88.88290459955113,0.9708111324783573
76,283.5327967111461,-1229.9788983481108,89.12444092691257,0.9233654057310292
77,284.3481710146852,-1230.7981619583884,89.38074206664677,0.8758519730827767
78,285.20926189565336,-1231.6634685587046,89.65141355242814,0.8282768051024697
79,286.11275692567614,-1232.5714401493044,89.93541417022284,0.7806641420307014
80,287.05339351076566,-1233.5167919191642,90.23108969959347,0.7330820095143928
81,288.02425543280407,-1234.492511886122,90.5362661272328,0.6856143530638311
82,289.01685399180667,-1235.4900550850384,90.84827515286273,0.6383592188748133
83,290.02141118970053,-1236.4995961987056,91.16404320396619,0.5914331458758911
84,291.0271526666217,-1237.5103174437002,91.48018351608297,0.544973841327699
85,292.022619875435,-1238.5107168020058,91.79309426036258,0.49911476138758326
86,292.9960454785353,-1239.4889938606455,92.09907654412864,0.45401775473966194
87,293.93574002945195,-1240.4334304309377,92.39445595865836,0.4098261030178406
88,294.83048161633855,-1241.3327814770496,92.67570505798766,0.36669027618366673
89,295.66989551841334,-1242.1766546545873,92.93956269843167,0.32473767313988505
90,296.44480092980643,-1242.95586075127,93.18314302622001,0.2840893032138836
91,297.1475132473578,-1243.6627121270117,93.40403049730162,0.2448442718883297
92,297.7722209241264,-1244.2912575573732,93.60039833580417,0.20708022615893978
93,298.3147194162234,-1244.8374478882047,93.77092490406251,0.17084944982082767
94,298.77295856797974,-1245.299250316918,93.91496576524271,0.13618643062718605
95,299.14693414493183,-1245.6766817801135,94.0325195883023,0.10308966949033993
96,299.4386676389537,-1245.9717900499656,94.12422180002508,0.07154332983400258
97,299.6519204749133,-1246.1885919008569,94.19125475000985,0.04150167871539778
98,299.7927647721136,-1246.3329617386403,94.23552712128868,0.01289299724402515
99,299.86873993389224,-1246.412481026844,94.25940881644493,-0.014378562018280028
100,299.8888942627515,-1246.436244330572,94.26574403872846,-0.04042239273344572
