step,KE,PE,T_insta,P_insta
0,391.3016,-413.596,123.0,4.6302
1,391.1757,-413.0689,122.9604,4.6414
2,390.2474,-411.739,122.6686,4.664
3,388.517,-409.6077,122.1247,4.6978
4,385.9866,-406.6782,121.3293,4.7423
5,382.6609,-402.9571,120.2839,4.7976
6,378.5487,-398.4554,118.9913,4.8636
7,373.6629,-393.188,117.4555,4.9398
8,368.021,-387.1753,115.6821,5.026
9,361.6462,-380.4436,113.6783,5.1217
10,354.5682,-373.0263,111.4534,5.2262
11,346.8243,-364.9646,109.0192,5.3389
12,338.46,-356.3091,106.39,5.4588
13,329.5307,-347.1198,103.5832,5.585
14,320.1016,-337.4676,100.6193,5.7164
15,310.2491,-327.4344,97.5223,5.8517
16,300.0607,-317.1132,94.3197,5.9894
17,289.6349,-306.6082,91.0425,6.1282
18,279.0809,-296.0333,87.7251,6.2664
19,268.5173,-285.511,84.4045,6.4021
20,258.0699,-275.1701,81.1205,6.5337
21,247.8697,-265.143,77.9143,6.6592
22,238.0496,-255.5621,74.8275,6.7769
23,228.7407,-246.5561,71.9013,6.885
24,220.0683,-238.2461,69.1753,6.9818
25,212.1484,-230.7416,66.6858,7.0659
26,205.0829,-224.1365,64.4649,7.1361
27,198.9573,-218.5067,62.5393,7.1913
28,193.8369,-213.9069,60.9298,7.2309
29,189.7659,-210.37,59.6502,7.2544
30,186.7657,-207.9063,58.7071,7.2618
31,184.8355,-206.5042,58.1004,7.2532
32,183.9532,-206.1316,57.823,7.2291
33,184.0776,-206.7385,57.8621,7.1903
34,185.1504,-208.2595,58.1993,7.1376
35,187.0996,-210.6168,58.8121,7.0721
36,189.8427,-213.7237,59.6743,6.995
37,193.2896,-217.4878,60.7578,6.9076
38,197.3461,-221.8135,62.0329,6.8113
39,201.916,-226.6051,63.4694,6.7075
40,206.9045,-231.7688,65.0374,6.5973
41,212.2193,-237.2143,66.7081,6.4822
42,217.7728,-242.857,68.4537,6.3634
43,223.4834,-248.6186,70.2488,6.242
44,229.2764,-254.428,72.0697,6.119
45,235.0842,-260.2215,73.8953,5.9954
46,240.8474,-265.9435,75.7069,5.8722
47,246.5142,-271.5462,77.4882,5.7499
48,252.0406,-276.9892,79.2253,5.6293
49,257.3897,-282.2392,80.9067,5.5109
50,262.5318,-287.27,82.5231,5.3952
51,267.4441,-292.0617,84.0672,5.2825
52,272.1097,-296.6003,85.5338,5.1732
53,276.517,-300.8767,86.9191,5.0675
54,280.6596,-304.8869,88.2213,4.9655
55,284.5356,-308.631,89.4396,4.8673
56,288.1471,-312.1131,90.5749,4.7729
57,291.4998,-315.3404,91.6288,4.6823
58,294.6026,-318.3232,92.6041,4.5955
59,297.4671,-321.0741,93.5045,4.5123
60,300.1068,-323.6078,94.3342,4.4325
61,302.5374,-325.9407,95.0983,4.356
62,304.776,-328.0905,95.8019,4.2826
63,306.8406,-330.0757,96.4509,4.2121
64,308.7501,-331.9152,97.0511,4.1443
65,310.5234,-333.6277,97.6086,4.0788
66,312.1791,-335.2316,98.129,4.0156
67,313.7351,-336.7445,98.6181,3.9544
68,315.2084,-338.1827,99.0812,3.895
69,316.6147,-339.5609,99.5233,3.8373
70,317.9678,-340.8921,99.9486,3.7809
71,319.2796,-342.1872,100.3609,3.7259
72,320.56,-343.4549,100.7634,3.6722
73,321.8165,-344.7015,101.1584,3.6195
74,323.0544,-345.9314,101.5475,3.5679
75,324.2768,-347.1465,101.9317,3.5172
76,325.4849,-348.3471,102.3115,3.4677
77,326.6778,-349.5312,102.6864,3.4191
78,327.8526,-350.6953,103.0557,3.3717
79,329.0052,-351.8346,103.418,3.3253
80,330.1301,-352.9432,103.7716,3.28
81,331.2212,-354.0144,104.1146,3.2359
82,332.2713,-355.0409,104.4447,3.1933
83,333.2731,-356.0153,104.7596,3.152
84,334.2189,-356.9301,105.0569,3.1122
85,335.1019,-357.7788,105.3344,3.074
86,335.9158,-358.5557,105.5903,3.0372
87,336.6553,-359.2559,105.8227,3.0022
88,337.3161,-359.8758,106.0305,2.9689
89,337.8955,-360.4132,106.2126,2.9373
90,338.3919,-360.8677,106.3686,2.9075
91,338.8055,-361.2399,106.4986,2.8794
92,339.1378,-361.5321,106.6031,2.8529
93,339.3919,-361.7482,106.6829,2.828
94,339.5723,-361.8934,106.7397,2.8046
95,339.6851,-361.9746,106.7751,2.7826
96,339.7378,-362.0003,106.7917,2.7619
97,339.7399,-361.9807,106.7923,2.7423
98,339.7022,-361.9271,106.7805,2.7237
99,339.6367,-361.8521,106.7599,2.7058
100,339.5562,-361.7687,106.7346,2.6886
101,339.4736,-361.6892,106.7086,2.6718
102,339.4007,-361.6247,106.6857,2.6553
103,339.3475,-361.5839,106.669,2.6391
104,339.3211,-361.5721,106.6607,2.6231
105,339.3246,-361.5901,106.6618,2.6071
106,339.357,-361.635,106.672,2.5913
107,339.4133,-361.6997,106.6897,2.5758
108,339.4845,-361.774,106.7121,2.5606
109,339.5594,-361.8454,106.7356,2.546
110,339.6247,-361.9006,106.7561,2.5319
111,339.6668,-361.9259,106.7694,2.5186
112,339.6729,-361.9094,106.7713,2.5063
113,339.6317,-361.8411,106.7583,2.495
114,339.535,-361.7141,106.7279,2.4848
115,339.3772,-361.5248,106.6783,2.4758
116,339.1567,-361.2732,106.609,2.4679
117,338.875,-360.9624,106.5205,2.461
118,338.5371,-360.5989,106.4142,2.4551
119,338.1505,-360.1917,106.2927,2.4501
120,337.7256,-359.752,106.1592,2.4458
121,337.2743,-359.2923,106.0173,2.442
122,336.8096,-358.8259,105.8712,2.4388
123,336.345,-358.3661,105.7252,2.4357
124,335.8931,-357.925,105.5831,2.4327
125,335.4656,-357.5134,105.4488,2.4296
126,335.0722,-357.1399,105.3251,2.4262
127,334.7203,-356.8106,105.2145,2.4227
128,334.4145,-356.5286,105.1184,2.4189
129,334.1564,-356.2937,105.0372,2.4147
130,333.9441,-356.1024,104.9705,2.4102
131,333.7724,-355.9481,104.9165,2.4056
132,333.6334,-355.8216,104.8728,2.4008
133,333.5167,-355.7114,104.8362,2.396
134,333.4102,-355.6049,104.8027,2.3915
135,333.3005,-355.4884,104.7682,2.3872
136,333.1744,-355.3494,104.7285,2.3834
137,333.0199,-355.177,104.68,2.3802
138,332.8278,-354.9635,104.6196,2.3778
139,332.592,-354.7048,104.5455,2.376
140,332.3106,-354.4014,104.457,2.375
141,331.9863,-354.058,104.3551,2.3746
142,331.6259,-353.6835,104.2418,2.3746
143,331.2402,-353.2901,104.1206,2.375
144,330.8421,-352.8913,103.9955,2.3754
145,330.4458,-352.5012,103.8709,2.376
146,330.0645,-352.1322,103.751,2.3763
147,329.7099,-351.7944,103.6395,2.3763
148,329.3904,-351.495,103.5391,2.376
149,329.1116,-351.2378,103.4515,2.3752
150,328.8759,-351.0241,103.3774,2.374
151,328.6833,-350.8527,103.3168,2.3723
152,328.5322,-350.7217,103.2693,2.3702
153,328.42,-350.6283,103.2341,2.3677
154,328.344,-350.5698,103.2102,2.3649
155,328.3015,-350.5432,103.1968,2.3617
156,328.2893,-350.5452,103.193,2.3583
157,328.3039,-350.572,103.1976,2.3546
158,328.341,-350.6188,103.2092,2.3509
159,328.3953,-350.6797,103.2263,2.347
160,328.4603,-350.7476,103.2467,2.3432
161,328.5284,-350.8145,103.2682,2.3396
162,328.5913,-350.8717,103.2879,2.3361
163,328.64,-350.9102,103.3032,2.3331
164,328.6654,-350.921,103.3112,2.3305
165,328.6587,-350.8952,103.3091,2.3285
166,328.6111,-350.8243,103.2942,2.3273
167,328.5146,-350.7005,103.2638,2.3269
168,328.3611,-350.5159,103.2156,2.3274
169,328.1433,-350.2635,103.1471,2.3291
170,327.8541,-349.9362,103.0562,2.3318
171,327.4868,-349.5274,102.9407,2.3357
172,327.0347,-349.0307,102.7987,2.3408
173,326.4918,-348.4401,102.628,2.3473
174,325.8523,-347.7504,102.427,2.3552
175,325.1114,-346.9572,102.1941,2.3647
176,324.2653,-346.0574,101.9281,2.3756
177,323.3119,-345.0501,101.6284,2.3879
178,322.2513,-343.9364,101.2951,2.4018
179,321.0858,-342.7199,100.9287,2.417
180,319.8205,-341.4075,100.531,2.4336
181,318.4638,-340.0089,100.1045,2.4513
182,317.0272,-338.5373,99.6529,2.47
183,315.5252,-337.0089,99.1808,2.4895
184,313.9756,-335.4427,98.6937,2.5094
185,312.3989,-333.8607,98.1981,2.5295
186,310.8179,-332.2864,97.7011,2.5494
187,309.257,-330.7447,97.2105,2.5689
188,307.7414,-329.2611,96.7341,2.5876
189,306.2963,-327.8604,96.2798,2.6052
190,304.9464,-326.5667,95.8555,2.6213
191,303.7147,-325.402,95.4683,2.6358
192,302.6224,-324.3864,95.125,2.6481
193,301.688,-323.5369,94.8313,2.6583
194,300.927,-322.8673,94.5921,2.6661
195,300.3513,-322.3874,94.4111,2.6715
196,299.9687,-322.103,94.2908,2.6743
197,299.7827,-322.015,94.2323,2.6746
198,299.7917,-322.1195,94.2352,2.6724
199,299.9893,-322.4073,94.2973,2.6679
200,300.3636,-322.864,94.415,2.6613
201,300.8977,-323.4701,94.5828,2.6527
202,301.5696,-324.2017,94.7941,2.6426
203,302.3537,-325.0314,95.0405,2.6312
204,303.2211,-325.929,95.3132,2.619
205,304.141,-326.8637,95.6023,2.6063
206,305.0823,-327.8045,95.8982,2.5936
